id;head_ru_de;transliteration_de;literal_de;meaning_de;equivalents_de;transparency_de;head_ru_eng;transliteration_eng;literal_eng;meaning_eng;equivalents_eng;transparency_eng
512;CO СКРИПОМ;ßo ßkripom;Mit Knirschen.;Etw. langsam, mit großer Mühe tun.;mit Mühe und Not;0.0;CO СКРИПОМ;so skripom;With a creak.;To do something very slowly, with great difficulty or effort, reluctantly.;;0.0
513;С ОТКРЫТОЙ ДУШОЙ/ ОТКРЫТЫМ СЕРДЦЕМ;ß otkrytoj duschoj/ ß otkrytym ßerzem;Mit offener Seele/ mit offenem Herzen. ;Ohne Vorurteil, aufrichtig gegen j-n.;;0.0;С ОТКРЫТОЙ ДУШОЙ/ ОТКРЫТЫМ СЕРДЦЕМ;s otkrytoy dushoy/otkrytym s’ertsem;With an open heart/soul;To treat, someone or do something sincerely, trustfully, frankly, openly, without prejudice.;;0.0
514;СПАТЬ БЕЗ ЗАДНИХ НОГ;ßpatj bes sadnich nog;Ohne Hinterbeine schlafen.;"Tief und fest schlafen; schlafen wie erschlagen.";schlafen wie ein Murmeltier;0.0;СПАТЬ БЕЗ ЗАДНИХ НОГ;spat’ b’ez zadnikh nog ;To sleep without one’s hind legs.;To sleep soundly.;To sleep like a log/top;0.0
515;С ПЛЕЧ ДОЛОЙ;ß pletsch doloj;Von den Schultern weg.;"Man braucht sich über etw. keine Gedanken mehr zu machen, sich nicht mehr beunruhigen; aller Sorgen ledig sein.";;0.0;С ПЛЕЧ ДОЛОЙ;s pi’ech doloy;Off one’s shoulders. ;"One needn’t bother about something any longer; one no longer has an irksome burden to bear; one has got rid of duties, cares, responsibilities.";That’s done, thank goodness.;0.0
516;СПУТАТЬ ВСЕ КАРТЫ;ßputatj wße karty;Alle Karten durcheinanderbringen.;J-s Pläne, Absichten vereiteln.;einen Strich durch die Rechnung machen;0.0;СПУТАТЬ ВСЕ КАРТЫ;sptitat’ vs’e karty;To mix up all the cards.;"To spoil or ruin someone’s plans; to upset someone’s calculations.";To upset someone’s apple-cart.;0.0
517;СРАЖАТЬСЯ С ВЕТРЯНЫМИ МЕЛЬНИЦАМИ;ßrashatza ß wetrjanymi meljnizami;Gegen Windmühlen kämpfen.;Sinnlos seine Kräfte vergeuden im Kampf gegen vermeintliche Gefahr, gegen eingebildete Schwierigkeiten.;;0.0;СРАЖАТЬСЯ С ВЕТРЯНЫМИ МЕЛЬНИЦАМИ;srazhattsa s vetr’anymi m’el’nitsami;To fight against the windmills.;"To waste energy in combating imaginary evils or difficulties; to attack an imaginary foe.";To tilt at windmills.;0.0
518;СТАВИТЬ ВО ГЛАВУ УГЛА;ßtawitj wo glawu ugla;In den Scheitelpunkt des Winkels stellen.;"In den Vordergrund stellen; für wichtig halten.";;0.0;СТАВИТЬ ВО ГЛАВУ УГЛА;stavit’ vo glavu ugla;To put something in the vertex of an angle.;"To assign primary importance to something; to consider something to be indispensible.";;0.0
519;СТАВИТЬ кого-либо НА НОГИ;ßtawitj (kowo-libo) na nogi;J-n auf die Füße stellen.;"J-n wieder auf die Beine bringen (nach einer Krankheit); j-n zur Selbständigkeit erziehen.";j-n auf die eigenen Füße stellen;1.0;СТАВИТЬ кого-либо НА НОГИ;stavit’ na nogi;To put someone on his feet.;To cure someone of an illness.;;0.0
520;СТАВИТЬ НА ОДНУ ДОСКУ;ßtawitj na odnu doßku;Auf ein und dasselbe Brett stellen.;J-n mit j-m in einer bestimmten Hinsicht gleich stellen.;j-n auf dieselbe Stufe mit j-m stellen;0.5;СТАВИТЬ НА ОДНУ ДОСКУ;stavit’ na odnu dosku;To put someone on the same board with someone else.;"To put someone on the same level with someone else; to consider one person comparable with another.";;0.0
521;СТАВИТЬ что-либо С НОГ НА ГОЛОВУ;ßtawitj (tschto-libo) ß nog na golowu;Etw. von den Füßen auf den Kopf stellen.;Etw. in falschem Licht, verzerrt darstellen.;eine Sache auf den Kopf stellen;0.5;СТАВИТЬ что-либо С НОГ НА ГОЛОВУ;stavit’ s nog na golovu;To put something from its feet into its head.;"To give a distorted picture of something; to put things in the wrong order; to take the effect for the cause.";To put the cart before the horse;0.0
522;СТАВИТЬ ТОЧКИ НАД И;ßtawitj totschki nad i;Den Punkt aufs i setzen.;"Nichts Unklares bei einer Sache lassen; etw. zu einem logischen Schluß führen.";den Punkt aufs i setzen;1.0;СТАВИТЬ ТОЧКИ НАД И;stavit’ tochki nad i;To put dots above the i’s;"To make something clear and definite; to give most careful attention to detail.";"To put the finishing touches to; to dot one’s i’s and cross one’s t’s.";0.0
523;СТАНОВИТЬСЯ НА ДЫБЫ;ßtanowitza na dyby;Sich auf die Hinterbeine stellen.;Zum Ausdruck einer gegensätzlichen Meinung, des hartnäckigen Widerspruchs.;sich auf die Hinterbeine stellen;0.5;СТАНОВИТЬСЯ НА ДЫБЫ;stanovittsa na dyby;To stand up on one’s hind legs.;"To resist; to protest; to display stubbornness.";"To rear up; to stand up on one’s hind legs";1.0
524;СТАРО КАК МИР;ßtaro kak mir;So alt wie die Welt.;Etw. längst Bekanntes, nichts Neues.;;0.0;СТАРО КАК МИР;staro kak mir;As old as the world.;Very old, stale, uninteresting because heard before.;As old as the hills;0.0
525;СТИРАТЬ ГРАНИ;ßtiratj grani;Die Grenzen wegwischen.;Die Unterschiede beseitigen.;die Grenzen verwischen;1.0;СТИРАТЬ ГРАНИ;stirat’ grani;To grind off the edges.;To remove differences or distinctions.;;0.0
526;СТОИТ КАК ВКОПАННЫЙ;ßtoit kak wkopannyj;Er steht wie eingegraben.;Er steht völlig unbeweglich. ;er steht da wie angewurzelt;0.5;СТОИТ КАК ВКОПАННЫЙ;One stands as if dug in.;One stands as if dug in.;One stands quite still, motionless.;To stand as if rooted to the ground.;0.0
527;СТОЯТЬ за кого-либо/что-либо ГОРОЙ;ßtojatj (sa kowo-libo / tschto-libo) goroj;Fur j-n oder etw. wie ein Berg stehen.;"Mit allen Kräften j-n oder etw. verteidigen; für j-n. etw. einstehen.";;0.0;СТОЯТЬ за кого-либо/что-либо ГОРОЙ;stoyat’ goroy;To stand for someone or something like a mountain.;"To defend someone or something with all one’s might, by every possible means; to be solidly behind someone or something; to stand firm or stick up for someone or something.";"To stand for someone through thick and thing; to back someone up to the hilt.";0.0
528;СТОЯТЬ НАД ДУШОЙ;ßtojatj nad duschoj;Über der Seele stehen.;J-n beobachten, der beschäftigt ist. und dadurch stören.;;0.0;СТОЯТЬ НАД ДУШОЙ;stoyat’ nad dushoy;To stand over someone’s soul.;"To annoy someone by constantly watching him; to importune someone.";"To stand over someone; to breath down someone’s neck; to worry the life out of someone.";0.0
529;СТОЯТЬ ПОПЕРЁК ГОРЛА;ßtojatj poperjok gorla;Quer im Rachen stehen.;"Für j-n unerträglich sein; j-m überdrüssig sein.";j-m zum Halse heraushängen;0.0;СТОЯТЬ ПОПЕРЁК ГОРЛА;stoyat’ pop’er’ok gorla;To stand across someone’s throat.;"To become unbearable, unendurable; to be a source of annoyance, irritation, especially a persistent one.";A thorn in one’s flesh/side.;0.0
530;СТОЯТЬ ПОПЕРЁК ДОРОГИ;ßtojatj poperjok dorogi;Quer auf dem Wege stehen.;J-n hindern beim Erreichen eines Zieles.;im Wege stehen;0.5;СТОЯТЬ ПОПЕРЁК ДОРОГИ;stoyat’ pop’er’ok dorogi;To stand across the road.;"To be an obstacle, hindrance or impediment to someone; to hamper someone’s chances of success or progress.";To be stand in someone’s way;0.0
531;СТРЕЛЯНЫЙ ВОРОБЕЙ;ßtreljanyj worobej;Ein (an)geschossener Spatz.;"Ein erfahrener Mensch; j-d, dem man nichts vormachen kann.";ein alter Hase;0.0;СТРЕЛЯНЫЙ ВОРОБЕЙ;str’el’any vorob’ey;A sparrow that has been shot at.;"A person experienced in the matter at hand; someone not easily deceived.";"An old hand; a knowing old bird";0.0
532;СТРЕЛЯТЬ ИЗ ПУШКИ ПО ВОРОБЬЯМ;ßtreljatj iß puschki po worobjam;Aus der Kanone auf Spatzen schießen. ;Mit großem Kraftaufwand ein unbedeutendes Ergebnis erreichen.;mit Kanonen auf Spatzen schießen;1.0;СТРЕЛЯТЬ ИЗ ПУШКИ ПО ВОРОБЬЯМ;str’el’at’ is pushki po vorob’yam;To fire a cannon at sparrows.;"To use an instrument or take measures far more powerful than is necessary; to make a great effort for a small gain.";"To use a sledge-hammer to crack a nut; to break a fly/butterfly up on the wheel.";0.0
533;СТРИЧЬ ВСЕХ ПОД ОДНУ ГРЕБЁНКУ;ßtritsch wßech pod odnu grebjonku;Alle über einen Kamm scheren.;Ohne Rücksicht auf Unterschiede j-n mit j-m gleichstellen.;alle über einen Kamm scheren;1.0;СТРИЧЬ ВСЕХ ПОД ОДНУ ГРЕБЁНКУ;strich vs’ekh pod odrni gr’eb’onku;To cut everyone’s hair with one comb.;"To treat everyone alike; to reduce everyone to the same level; to judge all people the same way.";;0.0
534;СТРОИТЬ НА ПЕСКЕ;ßtroitj na peßke;Auf Sand bauen.;Sich auf unzuverlässige Angaben stützen. ;auf Sand bauen;1.0;СТРОИТЬ НА ПЕСКЕ;stroit’ na p’esk’e;To build something on sand.;To make plans, organise a scheme, etc., on an insecure foundation.;To build on sand.;1.0
535;С ТЯЖЁЛЫМ СЕРДЦЕМ;ß tjasholym ßerzem;Mit schwerem Herzen.;"In bedrückter Stimmung; voller Unruhe; mit böser Vorahnung.";schweren Herzens;1.0;С ТЯЖЁЛЫМ СЕРДЦЕМ;s t’azholym s’ertsem;With a heavy heart.;To be anxious, depressed, in low spirits: to have a presentiment that something unpleasant or undesirable is about to happen.;With a heavy heart;1.0
536;СЧИТАТЬ ВОРОН;stschitatj woron;Krähen zählen.;Herumstehen und gaffen.;Maulaffen feilhalten;0.0;СЧИТАТЬ ВОРОН;shchitat’ voron;To count the crows.;"To gape at something; to be distracted, inattentive; to be bored. ";;0.0
537;СЫТ ПО ГОРЛО;ßyt po gorlo;Satt bis zur Kehle.;J-d hat genug von etw., j-d ist etw. überdrüssig.;satt bis obenhin;0.5;СЫТ ПО ГОРЛО;syt po gorlo;Full right up to the throat.;"One has had too much of something; one is surfeited with something.";"To be fed up with something; to have one’s fill of something.";0.5
538;ТАНЦЕВАТЬ ОТ ПЕЧКИ;tanzewatj ot petschki;Vom Ofen zu tanzen beginnen.;"Etw. jedesmal von vorne anfangen; etw. nur schablonenmäßig, nur gewohnheitsmäßig zu tun verstehen.";;0.0;ТАНЦЕВАТЬ ОТ ПЕЧКИ;tantsevat’ ot p’echki;To dance from the stove.;"To begin with something that is elementary, familiar, or simpler, repeating all the movements or operations from the very beginning; to begin from the beginning.";;0.0
539;ТАСКАТЬ КАШТАНЫ ИЗ ОГНЯ;taßkatj kaschtany is ognja;Die Kastanien aus dem Feuer ziehen.;Die schwere Arbeit tun, während andere das Ergebnis für sich in Anspruch nehmen.;die Kastanien aus dem Feuer holen;0.5;ТАСКАТЬ КАШТАНЫ ИЗ ОГНЯ;taskat’ kashtany iz ogn’a;To pull the chestnuts out of the fire. ;To do the hardest and the most painstaking part of some job for someone else’s benefit.;To pull the chestnuts out of the fire;1.0
540;ТАЩИТЬ ЗА УШИ;tastschitj sa uschi;An den Ohren ziehen.;J-m (meist einem Begriffsstutzigen) mit allen Mitteln beim Lernen, beim beruflichen Fortkommen helfen.;;0.0;ТАЩИТЬ ЗА УШИ;tashchit’ za ushy;To pull someone by the ears.;To do everything to help someone (usually one who is remiss and of less than average ability) in his studies, in obtaining promotion, etc.;;0.0
541;ТЁПЛОЕ МЕСТЕЧКО;tjoploje meßtetschko;Ein warmes Plätzchen.;Ein materiell einträglicher Posten.;;0.0;ТЁПЛОЕ МЕСТЕЧКО;t’oploye m’est’echko;A warm little place.;"A highly paid appointment or job; a profitable position.";A cushy/snug job;0.0
542;ТЕРЯТЬ ГОЛОВУ;terjatj golowu;Den Kopf verlieren.;In eine schwierige Lage geraten, vor Aufregung nicht wissen, was man tun soll.;den Kopf verlieren;1.0;ТЕРЯТЬ ГОЛОВУ;t’er’at’ golovu;To lose one’s head.;"To become flustered, confused, panic stricken; to lose one’s self-control.";"To lose one’s head/wits; to lose one’s presence of mind.";1.0
543;ТЕРЯТЬ ПОЧВУ ПОД НОГАМИ;terjatj potschwu pod nogami;Den Boden unter den Füßen verlieren.;Den inneren Halt, das Vertrauen auf die eigene Kraft verlieren.;den Boden unter den Füßen verlieren;1.0;ТЕРЯТЬ ПОЧВУ ПОД НОГАМИ;t’er’at’ pochvu pod nogami;To lose the ground under one’s feet.;To lose self-confidence in one’s occupation, social position or convictions.;To feel the ground slipping away from under one’s feet.;0.5
544;ТИШЕ ВОДЫ, НИЖЕ TPABЫ;tische wody, nishe trawy;Stiller als Wasser, niedriger als Gras.;J-d ist bescheiden, unauffällig, schüchtern.;j-d ist mucksmäuschenstill;0.0;ТИШЕ ВОДЫ, НИЖЕ TPABЫ;tishe vody nizhe travy;Quieter than water, lower than grass.;One is meek, timid, mild, quiet.;"Quiet as a mouse; meek as a lamb.";0.0
545;ТОЛОЧЬ ВОДУ В СТУПЕ;tolotsch wodu w ßtupe;Wasser im Mörser zerstoßen.;"Mit nutzloser Tätigkeit die Zeit verbringen; in ein nutzloses Gespräch gezogen werden.";leeres Stroh dreschen;0.0;ТОЛОЧЬ ВОДУ В СТУПЕ;toloch vodu v sttip’e;To pound the water in the mortar.;To do useless work, to engage in fruitless talk that can have no results, to waste time.;"To beat the air; to mill the wind.";0.0
546;ТРЕЩАТЬ ПО ШВАМ;trestschatj po schwam;An den Nähten krachen.;"Vor dem drohenden Zusammenbruch stehen; zusammenstürzen";in allen Fugen krachen;0.5;ТРЕЩАТЬ ПО ШВАМ;tr’eshchat’ po shvam;To burst at the seams.;To be on the verge of destruction, collapse, ruin.;"To go/fall to pieces; to fall/burst apart at the seams.";0.0
547;ТЯЖЕЛАЯ АРТИЛЛЕРИЯ;tjasholaja artillerija;Schwere Artillerie.;Ein im äußersten Fall angewandtes, zuverlässiges Mittel zum Erreichen von etw.;ein schweres Geschütz;0.5;ТЯЖЕЛАЯ АРТИЛЛЕРИЯ;t’azholaya artil’eriya;Heavy artillery.;Something that can be used in an emergency as an effective means of achieving an end.;;0.0
548;ТЯЖЁЛ НА ПОДЪЁМ;tjashol na podjom;J-d kommt schwer in Schwung.;"J-d ist schwerfällig; j-d rührt sich nur unwillig vom Fleck.";;0.0;ТЯЖЁЛ НА ПОДЪЁМ;t’azhol na pod’yorn;t’azhol na pod’yom;"Heavy on the rise. Slow or unwilling to do something; sluggish, hard to move or rouse to action.";;0.0
549;ТЯНУТЬ ВРЕМЯ;tjanutj wremja;Die Zeit hinziehen.;"Etw. verzögern; eine günstige Möglichkeit abwarten.";in die Länge ziehen;0.0;ТЯНУТЬ ВРЕМЯ;t’amit’ vr’em’a;To drag the time.;"To be slow in acting; to procrastinate; to wait for a favourable opportunity.";To bide one’s time;0.0
550;ТЯНУТЬ ЗА ЯЗЫК;tjanutj sa jasyk;J-n an der Zunge ziehen.;J-n zu antworten, auszusagen zwingen.;;0.0;ТЯНУТЬ ЗА ЯЗЫК;t’arnit’ za yazyk;To pull someone by the tongue.;"To make someone say something; to pump someone.";;0.0
551;УБИТЬ ДВУХ ЗАЙЦЕВ;ubitj dwuch sajzew;Zwei Hasen töten.;"Gleichzeitig zwei Dinge tun; zwei Ziele zugleich anstreben.";zwei Fliegen mit einer Klappe schlagen;0.0;УБИТЬ ДВУХ ЗАЙЦЕВ;ubit’ dvukh zaitsev;To kill two hares.;"To achieve two objects simultaneously; to attain two results with one means.";To kill two birds with one stone.;0.0
552;УДАРИТЬ КАК ОБУХОМ ПО ГОЛОВЕ;udaritj kak obuchom po golowe;Wie mit dem Beilrücken vor den Kopf schlagen.;"Unerwartet verblüffen; aufs äußerste verwirren.";wie vor den Kopf geschlagen;0.5;УДАРИТЬ КАК ОБУХОМ ПО ГОЛОВЕ;udarit’ kak obukhom po golov’e;To strike as if with an axe-butt on the head.;"To amaze, to perplex, to stun someone; to take someone aback.";"To knock someone down with a feather; to knock someone off his pins.";0.0
553;УДАРИТЬ ПО РУКАМ;udaritj po rukam;In die Hände schlagen.;Eine Abmachung, Vereinbarung bekräftigen.;etw. durch Handschlag besiegeln;0.0;УДАРИТЬ ПО РУКАМ;udarit’ po rukam;To strike each other’s hands.;"To confirm an agreement or a business deal; to strike a bargain.";To shake hands on it.;1.0
554;УЗНАТЬ что-либо ИЗ ПЕРВЫХ РУК;usnatj (tschto-libo) iß perwych ruk;Etw. aus ersten Händen kennen.;Etw. unmittelbar von j-m erfahren.;etw. aus erster Hand kennen;1.0;УЗНАТЬ что-либо ИЗ ПЕРВЫХ РУК;uznat’ is pervykh ruk;To learn something from the first hands.;To receive information direct from a primary source without intermediaries.;At first hand.;1.0
555;УЙТИ В КУСТЫ;ujti w kusty;Weggehen in die Sträucher.;Sich von der Verantwortung für etw., von der unmittelbaren Beteiligung an etw. zuriickziehen.;;0.0;УЙТИ В КУСТЫ;uyti v kusty;To go into the scrubs.;"To withdraw from one’s promise or an undertaking; to disclaim further responsibility for something.";"To make oneself scarce; to back out; to show the white feather.";0.0
